"Organization - Name","Organization - Labels","Organization - Country of Address","Organization - Website","Organization - LinkedIn profile","Organization - Industry","Organization - Annual revenue","Organization - Number of employees","Organization - Company Website (Lead CRM)","Organization - ID","Organization - People","Organization - Next activity date","Organization - Last activity date","Organization - Done activities","Organization - Activities to do","Organization - Email messages count","Organization - Profile picture","Organization - Address","Organization - Snitcher Total sessions","Organization - Snitcher Total page views","Organization - Snitcher Total time on site","Organization - Snitcher Segments","Organization - Snitcher Tags","Organization - Snitcher First visit date","Organization - Snitcher Last visit date","Organization - View in Dealfront","Organization - Latest visit","Organization - Industry","Organization - LinkedIn URL","Organization - Phone","Organization - Number of Employees","Organization - Year Founded","Organization - Total Funding","Organization - Description","Organization - Twitter URL"
"BMW TechWorks Romania","","Romania","bmwtechworks.ro","https://linkedin.com/company/103887487","","","","","1041","1","","","0","0","0","","Strada Ploiești  9, 400162, Cluj, Cluj-Napoca, Romania","","","","","","","","","","","","","","","","",""
"Medmix","","Switzerland","medmix.swiss","https://linkedin.com/company/76108912","","","","","1042","1","","","0","0","0","","Baarermatte  1, 6340, Zug, Baar, Switzerland","","","","","","","","","","","","","","","","",""
"Valeo","","France","valeo.com","https://linkedin.com/company/2669","","","","","1043","1","","","0","0","0","","Rue Jaïc Domergue  6, 75017, Paris, Ile-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Allianz","","Germany","allianz.com","https://linkedin.com/company/3964931","","","","","1044","1","","","0","0","0","","Königinstraße 28, 80802, Bayern|Oberbayern|Muenchen, Landeshauptstadt, Munich, Germany","","","","","","","","","","","","","","","","",""
"Mitsubishi Fuso Truck Europe","","Portugal","","https://linkedin.com/company/11203717","","","","","1045","1","","","0","0","0","","2206-906, Abrantes, Portugal","","","","","","","","","","","","","","","","",""
"MAN Impact Accelerator","","Germany","man.eu","https://linkedin.com/company/3177831","","","","","1046","1","","","0","0","0","","Oskar-Schlemmer-Straße, 80807, Bavaria, Munich, Germany","","","","","","","","","","","","","","","","",""
"FTI Consulting","","United States","fticonsulting.com","https://linkedin.com/company/5509","","","","","1047","1","","","0","0","0","","12th Street Northwest  555, 20004, District of Columbia, Washington, United States","","","","","","","","","","","","","","","","",""
"Mol Group","","Hungary","molgroup.info","https://linkedin.com/company/165023","","","","","1048","1","","","0","0","0","","Budafoki út  56, 1117, Budapest, Hungary","","","","","","","","","","","","","","","","",""
"DB Cargo Schweiz","","Germany","db.jobs","https://linkedin.com/company/8108","","","","","1049","2","","","0","0","1","","Elisabeth-Schwarzhaupt-Platz 1, 10115, Berlin, Berlin, Germany","","","","","","","","","","","","","","","","",""
"Ethics & Compliance Thought Leader","","","","","","","","","1050","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Mercedes-Benz","","Germany","mercedes-benz.com","https://linkedin.com/company/79164315","","","","","1051","6","","","0","0","2","","Am Wallgraben, 70563, Baden-Württemberg, Stuttgart, Germany","","","","","","","","","","","","","","","","",""
"IXAR Legal","","Switzerland","ixar.ch","https://linkedin.com/company/74521660","","","","","1052","1","","","0","0","0","","Meier-Bosshard-Strasse  5, 8048, Zurich, Zurich, Switzerland","","","","","","","","","","","","","","","","",""
"Skf Group","","Sweden","skf.com","https://linkedin.com/company/4592","","","","","1053","1","","","0","0","0","","Vädursgatan  6, 412 50, Västra Götaland County, Gothenburg, Sweden","","","","","","","","","","","","","","","","",""
"Tüv Süd","","Germany","tuvsud.com","https://linkedin.com/company/57146","","","","","1054","1","","","0","0","0","","Westendstraße  199, 80686, Bavaria, Munich, Germany","","","","","","","","","","","","","","","","",""
"American Express","Tier A","United States","americanexpress.com","https://linkedin.com/company/1277","","","","","1055","1","","","0","0","0","","Vesey Street, 10285, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Siemens Energy","","United States","siemens-energy.com","https://linkedin.com/company/607957","","","","","1056","2","","","0","0","0","","West Tower 8, 77042, Texas, Houston, United States","","","","","","","","","","","","","","","","",""
"Clearstream","","Luxembourg","clearstream.com","https://linkedin.com/company/6534","","","","","1057","2","","","0","0","0","","42 Avenue JF Kennedy, 1855, Canton Luxembourg, Luxembourg, Luxembourg","","","","","","","","","","","","","","","","",""
"Swisspartners Group","","Switzerland","swisspartners.com","https://linkedin.com/company/1458019","","","","","1058","1","","","0","0","0","","Am Schanzengraben  23, 8002, Zurich, Zurich, Switzerland","","","","","","","","","","","","","","","","",""
"Axel Springer","","Germany","axelspringer.com","https://linkedin.com/company/162606","","","","","1059","1","","","0","0","0","","Axel-Springer-Straße  65, 10969, Berlin, Berlin, Germany","","","","","","","","","","","","","","","","",""
"Vaisala","","Finland","vaisala.com","https://linkedin.com/company/166747","","","","","1060","1","","","0","0","0","","Vanha Nurmijärventie  21, 01670, Uusimaa, Vantaa, Finland","","","","","","","","","","","","","","","","",""
"Mars Veterinary Health","","United States","marsveterinary.com","https://linkedin.com/company/66306074","","","","","1061","1","","","0","0","0","","Southeast 6th Way, 98687, Washington, Vancouver, United States","","","","","","","","","","","","","","","","",""
"Hellenic Public Properties Company HPPC/ΕΤΑΔ","","Greece","hppc.gr","https://linkedin.com/company/68935716","","","","","1062","1","","","0","0","0","","7 Voulis, 105 62, Attica, Athens, Greece","","","","","","","","","","","","","","","","",""
"Anadolu Efes","","Turkey","anadoluefes.com.tr","https://linkedin.com/company/2590533","","","","","1063","1","","","0","0","0","","Balkan Caddesi, 34771, Istanbul, Ümraniye, Turkey","","","","","","","","","","","","","","","","",""
"Altrad Group","","France","altrad.com","https://linkedin.com/company/2526431","","","","","1064","1","","","0","0","0","","Rue du Mas de Carbonnier  125, 34965, Hérault, Occitania, Montpellier, France","","","","","","","","","","","","","","","","",""
"Il Sole 24 ORE","","Italy","ilsole24ore.com","https://linkedin.com/company/164310","","","","","1065","1","","","0","0","0","","Via Monte Rosa 91, 20149, Lombardia|Milano, Milano, Italy","","","","","","","","","","","","","","","","",""
"Deutsche Börse","","Germany","deutsche-boerse.com","https://linkedin.com/company/163430","","","","","1066","1","","","0","0","0","","Mergenthalerallee 61, 65760, Hessen|Darmstadt|Main-Taunus, Eschborn, Germany","","","","","","","","","","","","","","","","",""
"Acqua AND Sapone","","Italy","acquaesapone.it","https://linkedin.com/company/15826834","","","","","1067","1","","","0","0","0","","Via Vittor Pisani  14, 20124, Milan, Lombardy, Milan, Italy","","","","","","","","","","","","","","","","",""
"Rfi","","Italy","rfi.it","https://linkedin.com/company/451664","","","","","1068","1","","","0","0","0","","Piazza della Croce Rossa  1, 00161, Roma Capitale, Lazio, Rome, Italy","","","","","","","","","","","","","","","","",""
"Dürr Group","","Germany","durr-group.com","https://linkedin.com/company/42954697","","","","","1069","1","","","0","0","0","","Carl-Benz-Str. 34, 74321, Baden-W\u00fcrttemberg, Bietigheim-Bissingen, Germany","","","","","","","","","","","","","","","","",""
"Gerresheimer","","Germany","gerresheimer.com","https://linkedin.com/company/55187","","","","","1070","1","","","0","0","0","","Peter-Müller-Straße  3, 40468, North Rhine-Westphalia, Dusseldorf, Germany","","","","","","","","","","","","","","","","",""
"Agenda Digitale - Nextwork360","","Italy","agendadigitale.eu","https://linkedin.com/company/10268578","","","","","1071","1","","","0","0","0","","via Copernico 38, 20125, Milan, Lombardy, Milan, Italy","","","","","","","","","","","","","","","","",""
"Thyssenkrupp Steel","","Germany","thyssenkrupp-steel.com","https://linkedin.com/company/7567500","","","","","1072","1","","","0","0","0","","Kaiser-Wilhelm-Straße  100, 47166, North Rhine-Westphalia, Duisburg, Germany","","","","","","","","","","","","","","","","",""
"DHL Global Forwarding","","Germany","","https://linkedin.com/company/16239240","","","","","1073","1","","","0","0","0","","53250, North Rhine-Westphalia, Bonn, Germany","","","","","","","","","","","","","","","","",""
"AikGroup (CY)","","Cyprus","","https://linkedin.com/company/12621785","","","","","1074","1","","","0","0","0","","4103, Cyprus, Limassol, Cyprus","","","","","","","","","","","","","","","","",""
"Tdk","","Japan","tdk.com","https://linkedin.com/company/7505","","","","","1075","1","","","0","0","0","","2-5-1 Nihonbashi, 103-6128, Tokyo, Tokyo, Japan","","","","","","","","","","","","","","","","",""
"SkyShowtime","","United Kingdom","skyshowtime.com","https://linkedin.com/company/79869023","","","","","1076","1","","","0","0","0","","Latif House, First Way, Ha9 0Jd, Middlesex, Wembley, United Kingdom","","","","","","","","","","","","","","","","",""
"Crédit Agricole CIB","","France","ca-cib.com","https://linkedin.com/company/2579","","","","","1077","1","","","0","0","0","","Place des États-Unis  12, 92120, Hauts-de-Seine, Ile-de-France, Montrouge, France","","","","","","","","","","","","","","","","",""
"Eurobet Italia","","Italy","eurobetgroup.it","https://linkedin.com/company/3787691","","","","","1078","1","","","0","0","0","","Lungotevere Arnaldo da Brescia, 00195, Roma Capitale, Lazio, Rome, Italy","","","","","","","","","","","","","","","","",""
"Luminor Bank","","Estonia","luminor.ee","https://linkedin.com/company/24996125","","","","","1079","1","","","0","0","0","","Liivalaia 45, 10145, Harju, Tallinn, Estonia","","","","","","","","","","","","","","","","",""
"Schaeffler","","Germany","schaeffler.com","https://linkedin.com/company/305287","","","","","1080","1","","","0","0","0","","Industriestraße, 91074, Bavaria, Herzogenaurach, Germany","","","","","","","","","","","","","","","","",""
"Munich Re","","Germany","munichre.com","https://linkedin.com/company/8346","","","","","1081","1","","","0","0","0","","Königinstraße  107, 80802, Bavaria, Munich, Germany","","","","","","","","","","","","","","","","",""
"Zepto","","India","zeptonow.com","https://linkedin.com/company/76108196","","","","","1082","1","","","0","0","0","","1 st Floor, Plot 224, Sher, 400093, India, India","","","","","","","","","","","","","","","","",""
"Atalian","","France","atalian.com","https://linkedin.com/company/769749","","","","","1083","1","","","0","0","0","","Quai Jules Guesde, 94400, Ile-de-France, Vitry-sur-Seine, France","","","","","","","","","","","","","","","","",""
"Flying Colours","","United Kingdom","fcadvice.co.uk","https://linkedin.com/company/5367094","","","","","1084","1","","","0","0","0","","1 Ingleman Place, LN1 3BU, Lincolnshire, England, Lincoln, United Kingdom","","","","","","","","","","","","","","","","",""
"Bentley Systems","","United States","bentley.com","https://linkedin.com/company/4929","","","","","1085","1","","","0","0","0","","685 Stockton Dr, 19341, Pennsylvania, Exton, United States","","","","","","","","","","","","","","","","",""
"Fresenius Kabi","","Germany","fresenius-kabi.com","https://linkedin.com/company/9711","","","","","1086","1","","","0","0","0","","Else-Kröner-Straße 1, 61352, Hessen, Bad Homburg, Germany","","","","","","","","","","","","","","","","",""
"Scandinavian Trust","","Sweden","scandinaviantrust.se","https://linkedin.com/company/10269097","","","","","1087","1","","","0","0","0","","Birger Jarlsgatan 12, SE-114 34, Stockholm, Stockholm, Sweden","","","","","","","","","","","","","","","","",""
"Thunes","","Singapore","thunes.com","https://linkedin.com/company/14552981","","","","","1088","1","","","0","0","0","","Anson Road  72, 079911, Central, Singapore, Singapore","","","","","","","","","","","","","","","","",""
"Rho","","United States","rho.co","https://linkedin.com/company/13051540","","","","","1089","1","","","0","0","0","","Crosby Street, 10012, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Dtcc","","United States","dtcc.com","https://linkedin.com/company/6915","","","","","1090","1","","","0","0","0","","55 Water Street, 10041, New York, New York, United States","","","","","","","","","","","","","","","","",""
"Dover","","United States","dovercorporation.com","https://linkedin.com/company/761078","","","","","1091","1","","","0","0","0","","3005 Highland Parkway, Suite 200, 60515, Illinois, Downers Grove, United States","","","","","","","","","","","","","","","","",""
"Prescient","","United Kingdom","prescient.co.za","https://linkedin.com/company/2005301","","","","","1092","1","","","0","0","0","","Gracechurch Street, EC3V 0BT, City of London, England, City of London, United Kingdom","","","","","","","","","","","","","","","","",""
"Gibbs Financial Group AND Gibbs Wealth Management","","United States","gibbsfinancialgroup.com","https://linkedin.com/company/12896101","","","","","1093","1","","","0","0","0","","Old Milton Parkway, 30005, Georgia, Alpharetta, United States","","","","","","","","","","","","","","","","",""
"DoubleClick Exchange","","Seychelles","doubleclickexchange.com","https://linkedin.com/company/75605185","","","","","1094","1","","","0","0","0","","Unity House,, Bel Air, Victoria, Seychelles","","","","","","","","","","","","","","","","",""
"Capital One","","United States","capitalone.com","https://linkedin.com/company/1419","","","","","1095","2","","","0","0","0","","Capital One Drive  1680, 22102, Virginia, McLean, United States","","","","","","","","","","","","","","","","",""
"Experian","","United States","experianplc.com","https://linkedin.com/company/2534","","","","","1096","1","","","0","0","0","","Anton Boulevard  475, 92626, California, Costa Mesa, United States","","","","","","","","","","","","","","","","",""
"Usic","","United States","usicgroup.com","https://linkedin.com/company/9355584","","","","","1097","1","","","0","0","0","","Calle Tabonuco  B7, 00968, Puerto Rico, Guaynabo, United States","","","","","","","","","","","","","","","","",""
"Climate Pledge Fund","","Luxembourg","aboutamazon.com","https://linkedin.com/company/1586","","","","","1098","0","","","0","0","0","","5 RUE PLAETIS, 2338, Luxembourg, 2338 LUXEMBOURG, Luxembourg","","","","","","","","","","","","","","","","",""
"HDI Seguros México","","Mexico","hdi.com.mx","https://linkedin.com/company/3576902","","","","","1099","1","","","0","0","0","","Blvd San Juan Bosco #5003, Predio Rústico Rancho Seco, 37358, Guanajuato, León, Mexico","","","","","","","","","","","","","","","","",""
"Patterson Companies","","United States","pattersoncompanies.com","https://linkedin.com/company/3495423","","","","","1100","1","","","0","0","0","","1031 Mendota Heights Rd, 55120, Minnesota, Saint Paul, United States","","","","","","","","","","","","","","","","",""
"Silverlight Research Expert Network","","United Kingdom","silverlightgroup.com","https://linkedin.com/company/104978661","","","","","1101","1","","","0","0","0","","Grosvenor Gardens, SW1W 0EB, City of Westminster, England, City of Westminster, United Kingdom","","","","","","","","","","","","","","","","",""
"AML Watcher","","United States","amlwatcher.com","https://linkedin.com/company/96377843","","","","","1102","1","","","0","0","0","","The Green, 19901, Delaware, Dover, United States","","","","","","","","","","","","","","","","",""
"Northern Virginia Juvenile Detention Center","","United States","jdcnv.org","https://linkedin.com/company/40656337","","","","","1103","0","","","0","0","0","","South Whiting Street  200, 22304, Virginia, Alexandria, United States","","","","","","","","","","","","","","","","",""
"Adium","","Uruguay","adiumpharma.com","https://linkedin.com/company/9254967","","","","","1104","1","","","0","0","0","","Ruta 8 km. 17.500 - Ed. #1200 - Zonamerica - Tel: (598) 2518-2530 Fax: (598) 2518-2102, 91600, Montevideo, Montevideo, Uruguay","","","","","","","","","","","","","","","","",""
"Galileo Financial Technologies","","Argentina","galileo-ft.com","https://linkedin.com/company/26606","","","","","1105","1","","","0","0","0","","Belgrano 975, B7000GES, Buenos Aires, Tandil, Argentina","","","","","","","","","","","","","","","","",""
"Northern Trust Corporation","","United States","northerntrust.com","https://linkedin.com/company/3831","","","","","1106","1","","","0","0","0","","South LaSalle Street, 60696, Illinois, Chicago, United States","","","","","","","","","","","","","","","","",""
"Tahoe Life Insurance Company","","China","tahoelife.com.hk","https://linkedin.com/company/13404315","","","","","1107","1","","","0","0","0","","19/F, 1111 King’s Road, Taikoo Shing, Hong Kong, Hong Kong, Kowloon, China","","","","","","","","","","","","","","","","",""
"Primelead Corporate Services","","","","https://linkedin.com/company/106127674","","","","","1108","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"WebBank","","United States","webbank.com","https://linkedin.com/company/354860","","","","","1109","0","","","0","0","0","","State Street, 84190, Utah, Salt Lake City, United States","","","","","","","","","","","","","","","","",""
"LinkedIn","","United States","linkedin.com","https://linkedin.com/company/37504565","","","","","1110","0","","","0","0","0","","1000 W Maude, 94086, California, Sunnyvale, United States","","","","","","","","","","","","","","","","",""
"LAS Edventures","","India","learnandsupport.com","https://linkedin.com/company/90975912","","","","","1111","0","","","0","0","0","","Telangana, Hyderabad, India","","","","","","","","","","","","","","","","",""
"Prudent Insurance Brokers","","India","prudentbrokers.com","https://linkedin.com/company/577514","","","","","1112","1","","","0","0","0","","Registered Office: MUMBAI, 400013, Maharashtra, Mumbai, India","","","","","","","","","","","","","","","","",""
"Balad Bank","","Sudan","baladbank.net","https://linkedin.com/company/79412205","","","","","1113","1","","","0","0","0","","Al Sayed Abdelrahman Street, 10035, Khartoum State, Khartoum, Sudan","","","","","","","","","","","","","","","","",""
"Fdj united","","Malta","fdjunited.com","https://linkedin.com/company/164660","","","","","1114","1","","","0","0","0","","Tigne Point, TPO 0001, Sliema, Malta","","","","","","","","","","","","","","","","",""
"WalkMe (an SAP Company)","","","","","","","","","1115","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Astruc","","France","astruc-and-co.com","https://linkedin.com/company/42844299","","","","","1116","1","","","0","0","0","","Rue de Castiglione  14, 75001, Paris, Ile-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Swisscard AECS","","Switzerland","swisscard.ch","https://linkedin.com/company/30837","","","","","1117","1","","","0","0","0","","Neugasse  18, 8810, Zurich, Horgen, Switzerland","","","","","","","","","","","","","","","","",""
"FINANCIAL FIRM CONSULTING","","United Kingdom","","https://linkedin.com/company/21034768","","","","","1118","1","","","0","0","0","","EC2Y 5EJ, United Kingdom","","","","","","","","","","","","","","","","",""
"Rbc","","Canada","rbc.com","https://linkedin.com/company/1808","","","","","1119","1","","","0","0","0","","200 Bay Street, M5J 2J5, Ontario, Toronto, Canada","","","","","","","","","","","","","","","","",""
"Freyssinet France","","France","","https://linkedin.com/company/82329344","","","","","1120","1","","","0","0","0","","92500, Île-de-France, Rueil-Malmaison, France","","","","","","","","","","","","","","","","",""
"Alawneh Exchange","","Jordan","alawnehexchange.com","https://linkedin.com/company/84025379","","","","","1121","1","","","0","0","0","","Ubadah Al-Samet Street  20, 11187, Amman, Amman, Jordan","","","","","","","","","","","","","","","","",""
"Cnk","","","cnkadvogados.com.br","https://linkedin.com/company/2265880","","","","","1122","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Continental","","Germany","continental-careers.com","https://linkedin.com/company/3534","","","","","1123","1","","","0","0","0","","Continental-Plaza 1, 30175, Lower Saxony, Hannover, Germany","","","","","","","","","","","","","","","","",""
"Philip Morris International","","Switzerland","pmi.com","https://linkedin.com/company/1912","","","","","1124","1","","","0","0","0","","Avenue de Rhodanie 50, 1007, Lausanne, Switzerland","","","","","","","","","","","","","","","","",""
"Cerba HealthCare Italia","","Italy","cerbahealthcare.it","https://linkedin.com/company/28171963","","","","","1125","1","","","0","0","0","","Via Durini, 7, 20122, Lombardy, Milan, Italy","","","","","","","","","","","","","","","","",""
"OCP Group","","Morocco","ocpgroup.ma","https://linkedin.com/company/165281","","","","","1126","1","","","0","0","1","","2-4, rue Al Abtal, Hay Erraha, 20200, Casablanca, Maroc, 20000, Casablanca, Casablanca, Morocco","","","","","","","","","","","","","","","","",""
"Borusan Holding","","Turkey","borusan.com","https://linkedin.com/company/12114","","","","","1127","1","","","0","0","0","","Perili Köşk Rumelihisari Baltalimani Cad., 34470, -, Istanbul, Turkey","","","","","","","","","","","","","","","","",""
"SoftwareOne","","Switzerland","softwareone.com","https://linkedin.com/company/36655","","","","","1128","1","","","0","0","0","","Riedenmatt 4, 6370, Stans, Switzerland","","","","","","","","","","","","","","","","",""
"Marabu Inks","","Germany","marabu.com","https://linkedin.com/company/2095426","","","","","1129","1","","","0","0","1","","Asperger Str. 4, 71732, Baden-Wuerttemberg, Tamm, Germany","","","","","","","","","","","","","","","","",""
"D.TRADING","","Switzerland","d.trading","https://linkedin.com/company/13058176","","","","","1130","1","","","0","0","1","","Zug, Switzerland","","","","","","","","","","","","","","","","",""
"Irwin Mitchell","","United Kingdom","irwinmitchell.com","https://linkedin.com/company/23668","","","","","1131","1","","","0","0","0","","United Kingdom, United Kingdom","","","","","","","","","","","","","","","","",""
"Swan","","France","swan.io","https://linkedin.com/company/19116430","","","","","1132","1","","","0","0","1","","75011, Île-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Asociación Española contra el Cáncer","","Spain","asociacioncontraelcancer.es","https://linkedin.com/company/1167974","","","","","1133","1","","","0","0","1","","Calle del Teniente Coronel Noreña, 30, 28045, Comunidad de Madrid, Madrid, Spain","","","","","","","","","","","","","","","","",""
"Zurich Bank","","","","https://linkedin.com/company/86455244","","","","","1134","1","","","0","0","0","","","","","","","","","","","","","","","","","","",""
"Eni","","Italy","","https://linkedin.com/company/3591","","","","","1135","1","","","0","0","0","","Piazzale Enrico Mattei, 1, 00144, Piazzale Enrico Mattei, 1, Rome, Italy","","","","","","","","","","","","","","","","",""
"Brainlab","","Germany","brainlab.com","https://linkedin.com/company/9355","","","","","1136","1","","","0","0","0","","Olof-Palme-Straße 9, 81829, Bavaria, Munich, Germany","","","","","","","","","","","","","","","","",""
"ACEA","","Italy","gruppo.acea.it","https://linkedin.com/company/670741","","","","","1137","1","","","0","0","0","","Piazzale Ostiense 2, 00154, Rome, Italy","","","","","","","","","","","","","","","","",""
"Reckitt","","United Kingdom","reckitt.com","https://linkedin.com/company/3098","","","","","1138","1","","","0","0","0","","103-105 Bath Road, SL1 3UH, Berkshire, Slough, United Kingdom","","","","","","","","","","","","","","","","",""
"Volvo Construction Equipment","","Sweden","volvoce.com","https://linkedin.com/company/2096","","","","","1139","1","","","0","0","0","","Bolindervägen 100, 63185, Eskilstuna, Sweden","","","","","","","","","","","","","","","","",""
"Nicoll Curtin","","United Kingdom","nicollcurtin.com","https://linkedin.com/company/36486","","","","","1140","1","","","0","0","0","","1 King William Street, EC4N 7AR, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Barry Callebaut Group","","Switzerland","barry-callebaut.com","https://linkedin.com/company/7506","","","","","1141","1","","","0","0","0","","Hardturmstrasse 181, 8005, Zurich, Zurich, Switzerland","","","","","","","","","","","","","","","","",""
"AUMOVIO","","Germany","aumovio.com","https://linkedin.com/company/106699874","","","","","1142","1","","","0","0","0","","Guerickestraße 7, 60488, Hesse, Frankfurt, Germany","","","","","","","","","","","","","","","","",""
"Everllence","","Germany","everllence.com","https://linkedin.com/company/106539631","","","","","1143","1","","","0","0","0","","Augsburg, Germany","","","","","","","","","","","","","","","","",""
"Hyundai Motor Company","","South Korea","worldwide.hyundai.com","https://linkedin.com/company/825160","","","","","1144","1","","","0","0","0","","231, Yangjae-Dong, 137-938, Seoul, South Korea","","","","","","","","","","","","","","","","",""
"Mollie","","Netherlands","mollie.com","https://linkedin.com/company/202872","","","","","1145","1","","","0","0","0","","Keizersgracht 126, 1015, North Holland, Amsterdam, Netherlands","","","","","","","","","","","","","","","","",""
"Lufthansa Technik","","Germany","lufthansa-technik.com","https://linkedin.com/company/4233","","","","","1146","1","","","0","0","0","","Weg beim Jaeger 193, 22335, Hamburg, Germany","","","","","","","","","","","","","","","","",""
"Airbus","","France","airbus.com","https://linkedin.com/company/2734","","","","","1147","1","","","0","0","0","","BP 90112, 31703, Blagnac Cedex, France","","","","","","","","","","","","","","","","",""
"OZON.ru","","Russia","corp.ozon.com","https://linkedin.com/company/970369","","","","","1148","1","","","0","0","0","","Presnenskaya naberezhnaya 10, 123112, Moscow City, Moscow, Russia","","","","","","","","","","","","","","","","",""
"Mypayz Ödeme Kuruluşu A.Ş","","Turkey","","https://linkedin.com/company/99504301","","","","","1149","1","","","0","0","0","","Hamidiye Mh. Selçuklu Cd. No:10 D Blok Kat:2 Vadipark Seyrantepe-Kağıthane/İst., İstanbul, Turkey","","","","","","","","","","","","","","","","",""
"Mercado Libre","","Argentina","careers-meli.mercadolibre.com","https://linkedin.com/company/14226","","","","","1150","1","","","0","0","0","","Buenos Aires, C1430DNN, Buenos Aires, Argentina","","","","","","","","","","","","","","","","",""
"CeramTec – The Ceramic Experts","","Germany","ceramtec-group.com","https://linkedin.com/company/9194251","","","","","1151","1","","","0","0","0","","CeramTec Group Headquarters, 73207, Plochingen, Germany","","","","","","","","","","","","","","","","",""
"Raiffeisen Bank International","","Austria","rbinternational.com","https://linkedin.com/company/1347312","","","","","1152","1","","","0","0","0","","Am Stadtpark 9, 1030, Vienna, Austria","","","","","","","","","","","","","","","","",""
"Bpifrance","","France","bpifrance.fr","https://linkedin.com/company/22559","","","","","1153","1","","","0","0","0","","6-8 Boulevard Haussmann, 75009, IdF, Paris, France","","","","","","","","","","","","","","","","",""
"QAPCO - Qatar Petrochemical Company","","Qatar","qapco.com","https://linkedin.com/company/84751","","","","","1154","1","","","0","0","0","","C Ring Road, 756, Doha, Qatar","","","","","","","","","","","","","","","","",""
"Fresenius Medical Care","","Germany","freseniusmedicalcare.com","https://linkedin.com/company/407656","","","","","1155","1","","","0","0","0","","Else-Kröner-Strasse 1, 61352, Frankfurt, Bad Homburg, Germany","","","","","","","","","","","","","","","","",""
"Bank ABC","","Bahrain","Bank-ABC.com","https://linkedin.com/company/20636","","","","","1156","1","","","0","0","0","","ABC Tower, Building 152, Road 1703, Bock 317, 5698, Manama, Bahrain","","","","","","","","","","","","","","","","",""
"Godot & Fils","","France","achat-or-et-argent.fr","https://linkedin.com/company/70965672","","","","","1157","0","","","0","0","0","","26, Rue Vivienne, 75002, Île-de-France, Paris, France","","","","","","","","","","","","","","","","",""
"Kingfisher","","United Kingdom","kingfisher.com","https://linkedin.com/company/5492","","","","","1158","1","","","0","0","0","","1 Paddington Square, W2 1GG, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Vodafone","","United Kingdom","vodafone.com","https://linkedin.com/company/1217","","","","","1159","2","","","0","0","1","","Kingdom Street  1, W2 6BD, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Uber","","United States","uber.com","https://linkedin.com/company/1815218","","","","","1160","1","","","0","0","1","","3rd Street  1455, 94158, California, San Francisco, United States","","","","","","","","","","","","","","","","",""
"Cnh","","United Kingdom","cnh.com","https://linkedin.com/company/4622","","","","","1161","1","","","0","0","0","","Kingdom Street  3, W2 6BD, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Sika","","Switzerland","sika.com","https://linkedin.com/company/165970","","","","","1162","0","","","0","0","0","","Zugerstrasse 50, CH-6341, Zug, Baar, Switzerland","","","","","","","","","","","","","","","","",""
"Norgine","","Netherlands","norgine.com","https://linkedin.com/company/23080","","","","","1163","1","","","0","0","1","","Norgine B.V., 1083 HP, North Holland, Amsterdam, Netherlands","","","","","","","","","","","","","","","","",""
"Rezon Bio","","Poland","","https://linkedin.com/company/108621877","","","","","1164","1","","","0","0","2","","80-172, Pomeranian Voivodeship, Gdansk, Poland","","","","","","","","","","","","","","","","",""
"BPER Banca","","Italy","bper.it","https://linkedin.com/company/305070","","","","","1165","1","","","0","0","1","","Via San Carlo 8/20, 41100, Emilia-Romagna|Modena, MODENA, Italy","","","","","","","","","","","","","","","","",""
"Richemont","","Switzerland","richemont.com","https://linkedin.com/company/5003","","","","","1166","1","","","0","0","2","","50 Chemin de la Chenaie, 1293, Geneve, Geneva, Switzerland","","","","","","","","","","","","","","","","",""
"Hfw","","United Kingdom","hfw.com","https://linkedin.com/company/24768","","","","","1167","1","","","0","0","1","","Friary Court, 65 Crutched Friars, EC3N 2AE, England|London Inner|London (EC)|London EC3N, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Just Eat Takeaway.com","","Netherlands","justeattakeaway.com","https://linkedin.com/company/103531","","","","","1168","1","","","0","0","1","","Oosterdoksstraat  80, 1011 DK, North Holland, Amsterdam, Netherlands","","","","","","","","","","","","","","","","",""
"Paddle","","United Kingdom","paddle.com","https://linkedin.com/company/2695021","","","","","1169","0","","","0","0","0","","Great Amwell Lane, N8 7NL, London Borough of Haringey, England, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Norton Rose Fulbright","","United Kingdom","nortonrosefulbright.com","https://linkedin.com/company/7194","","","","","1170","1","","","0","0","1","","3 More London Riverside, Se1 2Aq, England|London Inner|London (SE)|London SE1, London, United Kingdom","","","","","","","","","","","","","","","","",""
"Poste Italiane","","Italy","posteitaliane.it","https://linkedin.com/company/7046","","","","","1171","1","","","0","0","1","","Viale Europa, 00144, Roma Capitale, Lazio, Rome, Italy","","","","","","","","","","","","","","","","",""
